,index,Price,Year,Mileage,City,State,Vin,Make,Model
65,95006,11995,2016,51540,Columbia, SC,1G11C5SA7GF127889,Chevrolet,Malibu
66,849551,28991,2016,21410,Ft. Worth, TX,YV440MDK6G2879830,Volvo,XC60FWD
67,75449,30990,2015,14903,Sherman, TX,3GYFNBE35FS639528,Cadillac,SRXLuxury
68,119799,19800,2017,26067,Vallejo, CA,2G1105S32H9112169,Chevrolet,ImpalaLT
69,651395,10500,2014,115390,Matthews, NC,1N4AA5AP0EC456201,Nissan,Maxima3.5
70,596028,6551,2005,80999,Hayward, CA,WDBRF81J75F658509,Mercedes-Benz,C-ClassC240
71,305089,8950,2011,145129,Raleigh, NC,1FTKR1ED4BPA20584,Ford,Ranger2WD
72,485178,15551,2017,18729,Lutz, FL,1C4NJPFA6HD160920,Jeep,PatriotLatitude
73,147837,16000,2014,87705,Wilson, NC,2GNALCEK3E6153341,Chevrolet,EquinoxFWD
74,448899,16860,2016,47113,D'Iberville, MS,KM8J33A47GU088557,Hyundai,TucsonFWD
75,479012,32900,2014,29384,DFW Airport, TX,SAJWA0EX5E8U20098,Jaguar,XFV6
76,730887,16896,2015,31338,Atlanta, GA,4S3BNAD63F3071313,Subaru,Legacy2.5i
77,541876,5995,2010,126068,Houston, TX,KNDMG4C32A6325953,Kia,Sedona4dr
78,594023,12991,2010,106638,Muncie, IN,JM3TB3MA5A0220402,Mazda,CX-9AWD
79,435133,13957,2015,30181,Wentzville, MO,5NPE24AF1FH096288,Hyundai,SonataSE
80,421664,21981,2016,19859,Concord, NC,2HGFC3B95GH351346,Honda,Civic
81,488178,19995,2015,31339,Beaumont, TX,1C4PJLCS4FW602125,Jeep,CherokeeLatitude
82,329426,30479,2014,58333,Tampa, FL,1FMJU1H55EEF45700,Ford,ExpeditionKing
83,782302,14485,2014,69643,Sacramento, CA,2T1BURHE9EC064262,Toyota,CorollaS
84,763388,15700,2015,49459,Lynn, MA,4T1BF1FK3FU003591,Toyota,CamrySE
85,416901,18499,2012,95989,Shakopee, MN,5FPYK1F71CB452558,Honda,RidgelineSport
86,184076,42795,2011,6109,Charlotte, NC,1G1YS2DW6B5102540,Chevrolet,Corvette2dr
87,10683,24995,2013,77497,San Juan Capistrano, CA,2HNYD2H33DH502787,Acura,MDXwith
88,111493,18990,2013,19849,Asheville, NC,1GNFLEEK4DZ120367,Chevrolet,EquinoxAWD
89,114482,21898,2016,31064,Lakewood, CO,2GNFLFEK9G6168369,Chevrolet,EquinoxAWD
90,214254,16795,2012,60395,Olympia, WA,2C3CDYAG3CH176394,Dodge,Challenger2dr
91,476947,10995,2007,123360,Memphis, TN,JNKAY01E87M308381,INFINITI,M354dr
92,219533,21499,2017,18491,Plano, TX,2C4RDGCG6HR672336,Dodge,Grand
93,411592,7999,2008,102178,Riverdale, NJ,5FNYF18358B047172,Honda,Pilot4WD
94,678422,30753,2016,14782,Norman, OK,5N1AZ2MG5GN107051,Nissan,MuranoFWD
95,691225,10692,2015,35342,Costa Mesa, CA,3N1CE2CP0FL389594,Nissan,Versa
96,481178,13981,2016,42539,Bradenton, FL,1C4NJCBAXGD705420,Jeep,CompassSport
97,200218,13799,2012,47218,Bel Air, MD,1C3CCBCGXCN184951,Chrysler,2004dr
